Humidity: 58.30 %, Temp: 20.40 Celsius
Humidity: 63.40 %, Temp: 17.40 Celsius
Humidity: 63.60 %, Temp: 17.40 Celsius
Humidity: 63.60 %, Temp: 17.40 Celsius
Humidity: 63.60 %, Temp: 17.40 Celsius
Humidity: 63.70 %, Temp: 17.30 Celsius
Humidity: 63.80 %, Temp: 17.30 Celsius
Humidity: 63.90 %, Temp: 17.30 Celsius
Humidity: 63.90 %, Temp: 17.30 Celsius
Humidity: 64.00 %, Temp: 17.30 Celsius
Humidity: 64.10 %, Temp: 17.20 Celsius
Humidity: 64.20 %, Temp: 17.30 Celsius
Humidity: 64.20 %, Temp: 17.20 Celsius
Humidity: 64.30 %, Temp: 17.20 Celsius
Humidity: 64.40 %, Temp: 17.20 Celsius
Humidity: 64.40 %, Temp: 17.10 Celsius
Humidity: 64.50 %, Temp: 17.10 Celsius
Humidity: 64.50 %, Temp: 17.10 Celsius
Humidity: 64.60 %, Temp: 17.10 Celsius
Humidity: 64.60 %, Temp: 17.10 Celsius
Humidity: 64.80 %, Temp: 17.10 Celsius
Humidity: 64.80 %, Temp: 17.10 Celsius
Humidity: 64.90 %, Temp: 17.10 Celsius
Humidity: 65.00 %, Temp: 17.10 Celsius
Humidity: 65.00 %, Temp: 17.00 Celsius
Humidity: 65.10 %, Temp: 17.00 Celsius
Humidity: 65.10 %, Temp: 17.00 Celsius
Humidity: 65.20 %, Temp: 17.00 Celsius
Humidity: 65.30 %, Temp: 17.00 Celsius
Humidity: 65.30 %, Temp: 17.00 Celsius
Humidity: 65.40 %, Temp: 17.00 Celsius
Humidity: 65.40 %, Temp: 16.90 Celsius
Humidity: 65.50 %, Temp: 16.90 Celsius
Humidity: 65.50 %, Temp: 16.90 Celsius
Humidity: 65.60 %, Temp: 16.90 Celsius
Humidity: 65.70 %, Temp: 16.90 Celsius
Humidity: 65.80 %, Temp: 16.90 Celsius
Humidity: 65.80 %, Temp: 16.80 Celsius
Humidity: 65.90 %, Temp: 16.80 Celsius
Humidity: 65.90 %, Temp: 16.80 Celsius
Humidity: 66.00 %, Temp: 16.80 Celsius
Humidity: 66.10 %, Temp: 16.80 Celsius
Humidity: 66.20 %, Temp: 16.80 Celsius
Humidity: 66.20 %, Temp: 16.80 Celsius
Humidity: 66.30 %, Temp: 16.80 Celsius
Humidity: 66.30 %, Temp: 16.80 Celsius
Humidity: 66.30 %, Temp: 16.70 Celsius
Humidity: 66.40 %, Temp: 16.70 Celsius
Humidity: 66.40 %, Temp: 16.70 Celsius
Humidity: 66.50 %, Temp: 16.70 Celsius
Humidity: 66.60 %, Temp: 16.70 Celsius
Humidity: 66.60 %, Temp: 16.70 Celsius
Humidity: 66.70 %, Temp: 16.70 Celsius
Humidity: 66.70 %, Temp: 16.60 Celsius
Humidity: 66.80 %, Temp: 16.70 Celsius
Humidity: 66.90 %, Temp: 16.70 Celsius
Humidity: 66.90 %, Temp: 16.60 Celsius
Humidity: 67.00 %, Temp: 16.60 Celsius
Humidity: 67.10 %, Temp: 16.60 Celsius
Humidity: 67.10 %, Temp: 16.60 Celsius
Humidity: 67.20 %, Temp: 16.60 Celsius
Humidity: 67.30 %, Temp: 16.60 Celsius
Humidity: 67.30 %, Temp: 16.60 Celsius
Humidity: 67.40 %, Temp: 16.60 Celsius
Humidity: 67.50 %, Temp: 16.60 Celsius
Humidity: 67.50 %, Temp: 16.50 Celsius
Humidity: 67.60 %, Temp: 16.50 Celsius
Humidity: 67.70 %, Temp: 16.50 Celsius
Humidity: 67.70 %, Temp: 16.50 Celsius
Humidity: 67.90 %, Temp: 16.50 Celsius
Humidity: 67.90 %, Temp: 16.50 Celsius
Humidity: 68.00 %, Temp: 16.50 Celsius
Humidity: 68.00 %, Temp: 16.50 Celsius
Humidity: 68.10 %, Temp: 16.50 Celsius
Humidity: 68.10 %, Temp: 16.50 Celsius
Humidity: 68.20 %, Temp: 16.50 Celsius
Humidity: 68.10 %, Temp: 16.40 Celsius
Humidity: 68.10 %, Temp: 16.40 Celsius
Humidity: 68.20 %, Temp: 16.40 Celsius
Humidity: 68.20 %, Temp: 16.40 Celsius
Humidity: 68.20 %, Temp: 16.40 Celsius
